goClass	level
GO:1990427	L4
GO:1990716	L4
GO:1990717	L4
GO:1990718	L4
GO:1990752	L4
GO:1990783	L4
GO:1990794	L4
GO:1990805	L4
GO:1990819	L4
GO:1990826	L4
GO:1990836	L4
GO:1990875	L4
GO:1990876	L4
GO:1990900	L4
GO:1990916	L4
