KOG	KOGID
R	KOG1108
R	KOG1109
R	KOG1110
M	KOG1111
O	KOG1111
I	KOG1111
F	KOG1112
T	KOG1113
O	KOG1114
I	KOG1115
T	KOG1115
I	KOG1116
T	KOG1116
T	KOG1117
Z	KOG1117
I	KOG1118
T	KOG1118
C	KOG1119
U	KOG1119
P	KOG1120
L	KOG1121
A	KOG1122
K	KOG1123
L	KOG1123
R	KOG1124
R	KOG1125
D	KOG1126
A	KOG1127
R	KOG1128
R	KOG1129
T	KOG1130
K	KOG1131
L	KOG1131
L	KOG1132
L	KOG1133
R	KOG1134
A	KOG1135
A	KOG1136
A	KOG1137
A	KOG1138
O	KOG1139
O	KOG1140
B	KOG1141
K	KOG1142
J	KOG1143
J	KOG1144
J	KOG1145
R	KOG1146
J	KOG1147
J	KOG1148
J	KOG1149
O	KOG1150
T	KOG1151
T	KOG1152
O	KOG1153
E	KOG1154
D	KOG1155
O	KOG1155
B	KOG1156
T	KOG1157
C	KOG1158
C	KOG1159
C	KOG1160
P	KOG1161
U	KOG1162
T	KOG1163
T	KOG1164
T	KOG1165
D	KOG1166
L	KOG1167
K	KOG1168
I	KOG1169
T	KOG1169
I	KOG1170
P	KOG1171
P	KOG1172
D	KOG1173
O	KOG1173
D	KOG1174
O	KOG1174
I	KOG1175
I	KOG1176
I	KOG1177
Q	KOG1178
I	KOG1179
I	KOG1180
S	KOG1181
C	KOG1182
M	KOG1183
O	KOG1183
E	KOG1184
H	KOG1184
E	KOG1185
H	KOG1185
Q	KOG1186
T	KOG1187
R	KOG1188
E	KOG1189
A	KOG1190
J	KOG1191
G	KOG1192
C	KOG1192
O	KOG1193
K	KOG1194
J	KOG1195
R	KOG1196
C	KOG1197
R	KOG1197
C	KOG1198
R	KOG1198
Q	KOG1199
I	KOG1200
Q	KOG1201
I	KOG1202
G	KOG1203
Q	KOG1204
Q	KOG1205
I	KOG1206
Q	KOG1207
Q	KOG1208
Q	KOG1209
Q	KOG1210
J	KOG1211
J	KOG1212
I	KOG1212
T	KOG1212
D	KOG1213
M	KOG1214
W	KOG1214
T	KOG1215
W	KOG1216
V	KOG1216
T	KOG1217
T	KOG1218
T	KOG1219
G	KOG1220
I	KOG1221
U	KOG1222
E	KOG1223
J	KOG1224
T	KOG1225
W	KOG1225
T	KOG1226
W	KOG1226
R	KOG1227
S	KOG1228
T	KOG1229
R	KOG1230
C	KOG1231
C	KOG1232
R	KOG1233
R	KOG1234
R	KOG1235
R	KOG1236
E	KOG1237
R	KOG1238
O	KOG1239
U	KOG1239
T	KOG1240
Y	KOG1241
U	KOG1241
J	KOG1242
R	KOG1243
K	KOG1244
B	KOG1245
R	KOG1246
J	KOG1247
S	KOG1248
R	KOG1249
E	KOG1250
T	KOG1251
E	KOG1251
E	KOG1252
J	KOG1253
C	KOG1254
C	KOG1255
I	KOG1256
C	KOG1257
A	KOG1258
T	KOG1259
Z	KOG1259
C	KOG1260
C	KOG1261
R	KOG1262
Q	KOG1263
I	KOG1264
I	KOG1265
T	KOG1266
K	KOG1267
R	KOG1267
M	KOG1268
I	KOG1269
R	KOG1269
H	KOG1270
R	KOG1271
A	KOG1272
R	KOG1273
R	KOG1274
L	KOG1275
H	KOG1276
U	KOG1277
U	KOG1278
B	KOG1279
R	KOG1280
P	KOG1281
O	KOG1282
E	KOG1282
O	KOG1283
H	KOG1284
Q	KOG1285
E	KOG1286
E	KOG1287
E	KOG1288
E	KOG1289
T	KOG1290
P	KOG1291
F	KOG1292
R	KOG1293
L	KOG1294
A	KOG1295
S	KOG1296
S	KOG1297
I	KOG1298
U	KOG1299
U	KOG1300
U	KOG1301
U	KOG1302
E	KOG1303
E	KOG1304
E	KOG1305
P	KOG1306
T	KOG1306
P	KOG1307
T	KOG1307
O	KOG1308
T	KOG1308
T	KOG1309
R	KOG1310
R	KOG1311
R	KOG1312
R	KOG1313
R	KOG1314
R	KOG1315
E	KOG1316
C	KOG1317
K	KOG1318
K	KOG1319
O	KOG1320
H	KOG1321
M	KOG1322
T	KOG1323
H	KOG1324
I	KOG1325
M	KOG1326
T	KOG1327
U	KOG1328
T	KOG1328
I	KOG1329
G	KOG1330
R	KOG1331
U	KOG1332
S	KOG1333
R	KOG1334
C	KOG1335
R	KOG1336
R	KOG1337
S	KOG1338
O	KOG1339
I	KOG1340
G	KOG1340
P	KOG1341
B	KOG1342
B	KOG1343
B	KOG1344
T	KOG1345
T	KOG1346
R	KOG1347
O	KOG1348
O	KOG1349
C	KOG1350
C	KOG1351
C	KOG1352
C	KOG1353
T	KOG1354
F	KOG1355
K	KOG1356
O	KOG1357
O	KOG1358
E	KOG1359
H	KOG1360
L	KOG1361
I	KOG1362
T	KOG1363
O	KOG1364
A	KOG1365
R	KOG1365
O	KOG1366
G	KOG1367
E	KOG1368
G	KOG1369
H	KOG1370
M	KOG1371
G	KOG1372
U	KOG1373
O	KOG1373
Z	KOG1374
Z	KOG1375
Z	KOG1376
F	KOG1377
G	KOG1378
T	KOG1379
H	KOG1380
H	KOG1381
R	KOG1382
E	KOG1383
J	KOG1384
F	KOG1385
F	KOG1386
M	KOG1387
T	KOG1388
V	KOG1388
I	KOG1389
I	KOG1390
I	KOG1391
I	KOG1392
I	KOG1393
I	KOG1394
Q	KOG1394
E	KOG1395
S	KOG1396
P	KOG1397
S	KOG1398
Q	KOG1399
R	KOG1400
E	KOG1401
E	KOG1402
R	KOG1403
E	KOG1404
E	KOG1405
I	KOG1406
S	KOG1407
S	KOG1408
S	KOG1409
Y	KOG1410
U	KOG1410
E	KOG1411
E	KOG1412
G	KOG1413
K	KOG1414
O	KOG1415
J	KOG1416
E	KOG1417
P	KOG1418
P	KOG1419
P	KOG1420
T	KOG1420
R	KOG1421
P	KOG1422
D	KOG1423
T	KOG1423
R	KOG1424
Z	KOG1425
S	KOG1426
S	KOG1427
T	KOG1428
G	KOG1429
M	KOG1429
I	KOG1430
E	KOG1430
G	KOG1431
O	KOG1431
R	KOG1432
L	KOG1433
D	KOG1434
L	KOG1434
I	KOG1435
T	KOG1435
F	KOG1436
M	KOG1437
W	KOG1437
E	KOG1438
O	KOG1439
I	KOG1440
G	KOG1441
E	KOG1441
G	KOG1442
O	KOG1442
U	KOG1442
S	KOG1443
G	KOG1444
O	KOG1444
U	KOG1444
Z	KOG1445
A	KOG1446
B	KOG1446
O	KOG1446
C	KOG1447
F	KOG1448
E	KOG1448
T	KOG1449
T	KOG1450
T	KOG1451
T	KOG1452
T	KOG1453
R	KOG1454
I	KOG1455
A	KOG1456
R	KOG1457
G	KOG1458
I	KOG1459
G	KOG1460
M	KOG1460
O	KOG1460
J	KOG1461
J	KOG1462
O	KOG1463
O	KOG1464
T	KOG1464
J	KOG1465
J	KOG1466
J	KOG1467
J	KOG1468
R	KOG1469
I	KOG1470
I	KOG1471
B	KOG1472
K	KOG1472
B	KOG1473
K	KOG1473
K	KOG1474
A	KOG1475
O	KOG1476
R	KOG1477
I	KOG1478
F	KOG1479
T	KOG1480
E	KOG1481
P	KOG1482
P	KOG1483
P	KOG1484
P	KOG1485
T	KOG1486
T	KOG1487
J	KOG1488
R	KOG1489
R	KOG1490
R	KOG1491
